LOAN (Off Site Loaner),,A-3-1-14 (B-Stock),,,,,CPSHIP (Customer Property Shipping),EE-1 (main harvest small rack),,IN LAB (In Progress),,SEE_NOTE (Additional Details on Inventory Item by Serial Number),,,,H-9-4 (QUAR (Quarantine)antine),,,,B-4-4 (SHPD),B-2-3 (Stock),,,
MIA (Misplaced),,A-3-1-2 (B-Stock),,,,,SR 1 (Shipping Rack 1 - Customer Return),EE-2 (main harvest small rack),,A (Lab),,,,,,H-9-5 (QUAR (Quarantine)antine),,,,C-11-1 (SHPD),B-2-4 (Stock),,,
,,A-3-3-10 (B-Stock),,,,,,,,A-5-5-5 (Lab),,,,,,I-1-6 (QUAR (Quarantine)antine),,,,F-8-7-13 (SHPD),B-5-5 (Stock),,,
,,A-3-3-11 (B-Stock),,,,,,,,A-5-5-7 (Lab),,,,,,I-1-7 (QUAR (Quarantine)antine),,,,G-10-3-1 (SHPD),B-5-6 (Stock),,,
,,A-3-3-12 (B-Stock),,,,,,,,A-5-5-8 (Lab),,,,,,I-1-8 (QUAR (Quarantine)antine),,,,G-1-4 (SHPD),B-5-7 (Stock),,,
,,A-3-3-13 (B-Stock),,,,,,,,A-5-7-2 (Lab),,,,,,I-2-1 (QUAR (Quarantine)antine),,,,G-2-6 (SHPD),B-5-8 (Stock),,,
,,A-3-3-14 (B-Stock),,,,,,,,A-6-1 (Lab),,,,,,I-2-2 (QUAR (Quarantine)antine),,,,G-3-4 (SHPD),B-6-1 (Stock),,,
,,A-3-3-2 (B-Stock),,,,,,,,A-6-1-2 (Lab),,,,,,I-2-3 (QUAR (Quarantine)antine),,,,G-6-4-10 (SHPD),B-6-2 (Stock),,,
,,A-3-3-3 (B-Stock),,,,,,,,A-6-2 (Lab),,,,,,I-2-4 (QUAR (Quarantine)antine),,,,G-7-3-6 (SHPD),B-6-3 (Stock),,,
,,A-3-3-4 (B-Stock),,,,,,,,A-6-2A-6-2 (Lab),,,,,,I-2-5 (QUAR (Quarantine)antine),,,,G-7-5-14 (SHPD),B-6-4 (Stock),,,
,,A-3-3-5 (B-Stock),,,,,,,,A-6-3-3 (Lab),,,,,,I-2-6 (QUAR (Quarantine)antine),,,,G-9-3 (SHPD),B-6-5 (Stock),,,
,,A-3-3-6 (B-Stock),,,,,,,,A-6-4 (Lab),,,,,,I-2-7 (QUAR (Quarantine)antine),,,,HARVESTRESTOCK (SHPD),B-6-6 (Stock),,,
,,A-3-3-7 (B-Stock),,,,,,,,A-6-5 (Lab),,,,,,I-2-8 (QUAR (Quarantine)antine),,,,INBOUNDCLAIM (SHPD),B-6-7 (Stock),,,
,,A-3-3-8 (B-Stock),,,,,,,,A-7-1 (Lab),,,,,,I-3-1 (QUAR (Quarantine)antine),,,,INBOUNDRESTOCK (SHPD),B-6-8 (Stock),,,
,,A-3-3-9 (B-Stock),,,,,,,,A-7-4 (Lab),,,,,,I-3-2 (QUAR (Quarantine)antine),,,,LAB-BINRACK-3 (SHPD),B-7-1 (Stock),,,
,,A-3-4 (B-Stock),,,,,,,,A-7-5-13 (Lab),,,,,,I-3-3 (QUAR (Quarantine)antine),,,,RL-10-3 (SHPD),B-7-2 (Stock),,,
,,A-3-4-1 (B-Stock),,,,,,,,A-7-5-4 (Lab),,,,,,I-3-4 (QUAR (Quarantine)antine),,,,RT-1-1 (SHPD),B-7-3 (Stock),,,
,,A-3-4-10 (B-Stock),,,,,,,,A-7-8-1 (Lab),,,,,,I-3-5 (QUAR (Quarantine)antine),,,,SHIPPED TO CUSTOMER (SHPD),B-7-4 (Stock),,,
,,A-3-4-11 (B-Stock),,,,,,,,A-7-8-2 (Lab),,,,,,I-3-6 (QUAR (Quarantine)antine),,,,SHIPPING (SHPD),B-7-5 (Stock),,,
,,A-3-4-12 (B-Stock),,,,,,,,A-8-3 (Lab),,,,,,I-3-7 (QUAR (Quarantine)antine),,,,SHIPPING DESK (SHPD),B-7-6 (Stock),,,
,,A-3-4-13 (B-Stock),,,,,,,,A-8-3-1 (Lab),,,,,,I-3-8 (QUAR (Quarantine)antine),,,,TO REPAIR RACK (SHPD),B-7-7 (Stock),,,
